Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot30,"TinglePlayerParkov",easy,11,Failed,"Тарков не прощает ошибок","Zone Sandbox_mine_quest","1","23:35:03","23:44:49",
Bot33,"Harmer",impossible,6,Failed,"Тарков не прощает ошибок","Zone Sandbox_mine_quest","1","23:35:03","23:41:51",
Bot32,"Floppa",impossible,2,Failed,"Тарков не прощает ошибок","Zone Sandbox_mine_quest","1","23:35:03","23:37:26",
Bot29,"RyuAzuku",easy,10,Completed,"Стрельба по баночкам","Zone Sandbox_2_AGS_exploration","1","23:35:03","23:35:58",
Bot29,"RyuAzuku",easy,10,Failed,"Стрельба по баночкам","Zone Sandbox_2_Kord_exploration","1","23:36:59","23:46:05",
Bot31,"epidemicz",impossible,3,Completed,"Stairs Near Tartowers","Stairs Near Tartowers: Objective #2","2","23:35:03","23:35:42",
Bot31,"epidemicz",impossible,3,Failed,"Stairs Near Tartowers","Stairs Near Tartowers: Objective #1","1","23:35:47","23:37:52",
Bot45,"3371",normal,11,Failed,"TerraGroup Garage","TerraGroup Garage: Objective #1","1","23:37:33","23:39:22",
Bot44,"RaiRaiTheRaichu",normal,8,Completed,"Спасение крота","Zone Sandbox_5_DeadGroup_exploration","1","23:37:33","23:38:03",
Bot44,"RaiRaiTheRaichu",normal,8,Failed,"Спасение крота","Zone Sandbox_5_Laborant_exploration","1","23:38:08","23:38:15",
Bot46,"toothpaste OJ combo",normal,10,Failed,"Спасение крота","Zone Sandbox_5_DeadGroup_exploration","1","23:37:34","23:38:12",
Bot56,"Иржан Чиркаш",normal,1,Completed,"Olive Restaurant","Olive Restaurant: Objective #1","1","23:42:04","23:53:37",
Bot56,"Иржан Чиркаш",normal,1,Active,"Olive Restaurant","Olive Restaurant: Objective #2","1","23:53:42","N/A",
Bot57,"Мишган Белый",normal,1,Failed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #9","1","23:42:04","23:45:47",
