Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot16,"Пантелеймон Вупсень",normal,1,Failed,"Kyshperski","Kyshperski: Objective #1","1","12:49:37","12:50:20",
Bot16,"Пантелеймон Вупсень",normal,1,Failed,"Kyshperski","Kyshperski: Objective #2","1","12:50:25","12:50:33",
Bot16,"Пантелеймон Вупсень",normal,1,Failed,"Kyshperski","Kyshperski: Objective #3","1","12:50:38","12:53:22",
Bot12,"lualeet",normal,21,Pending,"Стрельба по баночкам","Zone Sandbox_2_AGS_exploration","1","12:49:37","N/A",
Bot11,"Skwizzy",normal,21,Active,"Стрельба по баночкам","Zone Sandbox_2_AGS_exploration","1","12:49:37","N/A",
Bot13,"cardsmen",easy,21,Failed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #9","1","12:49:37","12:51:04",
Bot15,"Сева Кастрюля",easy,1,Active,"Oasis","Oasis: Objective #1","1","12:49:37","N/A",
Bot14,"Pycak",easy,21,Completed,"Стрельба по баночкам","Zone Sandbox_2_Kord_exploration","1","12:49:37","12:50:12",
Bot17,"Сергей Белый",easy,1,Active,"Tartowers","Tartowers: Objective #4","1","12:49:37","N/A",
Bot22,"Данила Скворец",normal,1,Completed,"Skyside Hotel","Skyside Hotel: Objective #1","1","12:51:07","12:51:12",
Bot22,"Данила Скворец",normal,1,Completed,"Skyside Hotel","Skyside Hotel: Objective #3","1","12:51:17","12:52:16",
Bot22,"Данила Скворец",normal,1,Completed,"Skyside Hotel","Skyside Hotel: Objective #2","1","12:52:21","12:53:56",
Bot22,"Данила Скворец",normal,1,Pending,"Skyside Hotel","Skyside Hotel: Objective #4","1","12:54:01","N/A",
Bot23,"Саня Сигаретка",normal,1,Completed,"TerraGroup Garage","TerraGroup Garage: Objective #1","1","12:53:28","12:53:34",
Bot23,"Саня Сигаретка",normal,1,Active,"TerraGroup Garage","TerraGroup Garage: Objective #2","3","12:53:39","N/A",
Bot24,"Русик Вонючка",easy,1,Active,"Capital Insight Cafe Camping","Capital Insight Cafe Camping: Objective #1","1","12:53:38","N/A",
[Not Spawned],"Богдан Московский",easy,1,,,,,,,
[Not Spawned],"Стас Руссиано",easy,1,,,,,,,
[Not Spawned],"Мстислав Пукан",easy,1,,,,,,,
[Not Spawned],"Ромчик Рэмба",easy,1,,,,,,,
[Not Spawned],"Платон Ржавый",normal,1,,,,,,,
[Not Spawned],"Жорес Продавец",normal,1,,,,,,,
[Not Spawned],"Юрий Никулин",normal,1,,,,,,,
[Not Spawned],"Петр Дудис",normal,1,,,,,,,
[Not Spawned],"Лёва Сметана",easy,1,,,,,,,
[Not Spawned],"Фёдор Гоблин",normal,1,,,,,,,
[Not Spawned],"Дрон Японец",normal,1,,,,,,,
[Not Spawned],"Давид Макака",normal,1,,,,,,,
